States,StateNo.,Year,MMR,Medical,Non.Medical,Any.Exemption,Pop,MedAge,P_White,P_HS,P_BS,MedInc,P_UnInsured,P_Mar,P_BelPov,PerCapHealth,P_ChilNoIns,P_NoCov,P_PrivIns,P_NoPrev,P_LivRur,AveLagMMR,LagMMR11,LagMMR12,LagMMR13,LagMMR14,LagMMR15,LagMed11,LagMed12,LagMed13,LagMed14,LagMed15,LagNMed11,LagNMed12,LagNMed13,LagNMed14,LagNMed15
Oklahoma,37,2011,95,0.2,1,1.1,3875589,36.2,72.85,87.3,24.5,48038,15.7,50,12.2,7627,7.3,14.7,48.2,19.6,38.2,93.32,95,90.5,96.4,90.3,94.4,0.2,0.1,0.1,0.1,0.1,1,1.2,1.4,1.4,1.5
Oregon,38,2011,94,0.2,5.8,5.9,3982267,39.1,85.07,90,31.4,53270,10.4,49.2,10.5,8044,4.3,11.3,58.1,20.8,25.4,93.74,94,93.5,93.2,94.1,93.9,0.2,0.2,0.1,0.2,0.1,5.8,6.4,7,5.8,6.2
Pennsylvania,39,2011,86.9,0.4,1.4,1.8,12783977,40.6,81.37,89.5,29.3,54895,8,48,9.1,9258,4.1,8.7,65.5,9.6,16.7,89.28,86.9,87,85.3,91.7,95.5,0.4,0.4,0.3,0.3,0.4,1.4,1.5,1.7,1.8,1.8
Rhode Island,40,2011,91.7,0.3,0.7,1,1054491,39.9,80.99,87,32.5,58387,8,44.5,9.8,9551,3.9,10.4,59.9,10,0,94.62,91.7,94.2,95.1,95.7,96.4,0.3,0.4,0.3,0.2,0.2,0.7,0.8,0.7,0.9,0.9
South Carolina,41,2011,94.5,0.1,1,1.1,4834605,38.8,67.27,86,26.5,46898,13.3,47.1,12.8,7311,6.4,10.9,48.8,18.7,25.8,95.04,94.5,90.9,96.8,96.5,96.5,0.1,NA,0.1,0.1,0.1,1,NA,1.2,1,1.6
South Dakota,42,2011,97.4,0.2,1,1.2,851058,36.8,84.77,91.2,27.5,52078,10.3,52,8.9,8933,3.2,6.1,67.1,26.7,56.8,97.10,97.4,97.9,96.6,97.1,96.5,0.2,0.3,0.2,0.2,0.2,1,1.5,1.6,1.5,1.4
Tennessee,43,2011,97.3,0.2,0.5,0.7,6548009,38.5,77.84,86,25.4,46574,11.8,49.3,12.9,7372,5.3,10.7,54.4,13.1,27.4,95.06,97.3,94.5,94.9,95.1,93.5,0.2,0.2,0.2,0.2,0.1,0.5,1.1,1,0.9,0.9
Texas,44,2011,99.3,NA,1,NA,26956435,34.2,74.84,82.3,28.1,54727,19.3,49.3,13,6998,9.4,17.9,51.9,16.6,12.8,97.86,99.3,97.5,97.5,97.4,97.6,NA,NA,NA,NA,0.2,1,1.2,1.4,1.3,1.4
Utah,45,2011,98,0.1,3.6,3.8,2948427,30.3,87.25,91.5,31.7,62518,12,55.9,8.4,5982,8.7,14.7,74.7,23.8,14.5,96.20,98,96.3,98.5,94,94.2,0.1,0.2,0.2,0.2,0.2,3.6,3.7,4.2,4.1,4.4
Vermont,46,2011,92.9,0.3,5.4,5.7,626249,42.6,94.69,91.9,36.2,56104,5.3,49.4,7.5,10190,1.3,4.8,55,8.8,66.4,92.64,92.9,92.8,91.2,92.7,93.6,0.3,0.4,0.2,0.2,0.1,5.4,5.7,6.1,5.9,5.5
